,datetime,open,high,low,close
1643,2025-01-18 05:28:00,1.02868,1.02874,1.02861,1.02865
1644,2025-01-18 05:29:00,1.02863,1.02866,1.02843,1.02848
1645,2025-01-18 05:30:00,1.02847,1.02851,1.02831,1.02843
1646,2025-01-18 05:31:00,1.02842,1.02849,1.02838,1.02841
1647,2025-01-18 05:32:00,1.0284,1.02845,1.02828,1.02832
1648,2025-01-18 05:33:00,1.02831,1.02835,1.02814,1.02818
1649,2025-01-18 05:34:00,1.02817,1.02827,1.02814,1.0282
1650,2025-01-18 05:35:00,1.02821,1.02827,1.02806,1.02811
1651,2025-01-18 05:36:00,1.02812,1.0282,1.02802,1.02816
1652,2025-01-18 05:37:00,1.02815,1.02835,1.02809,1.02832
1653,2025-01-18 05:38:00,1.02833,1.02837,1.0282,1.02828
1654,2025-01-18 05:39:00,1.02829,1.02837,1.02824,1.02834
1655,2025-01-18 05:40:00,1.02833,1.02844,1.02827,1.02838
1656,2025-01-18 05:41:00,1.02837,1.0284,1.0282,1.02826
1657,2025-01-18 05:42:00,1.02825,1.02845,1.02822,1.02841
1658,2025-01-18 05:43:00,1.02842,1.02845,1.0283,1.0284
1659,2025-01-18 05:44:00,1.02841,1.02845,1.0283,1.02838
1660,2025-01-18 05:45:00,1.02839,1.02851,1.02834,1.02843
1661,2025-01-18 05:46:00,1.02841,1.02847,1.02825,1.02834
1662,2025-01-18 05:47:00,1.02833,1.02843,1.02828,1.02838
1663,2025-01-18 05:48:00,1.02837,1.02841,1.02814,1.02818
1664,2025-01-18 05:49:00,1.02817,1.02821,1.02808,1.02813
1665,2025-01-18 05:50:00,1.02811,1.02825,1.02807,1.02822
1666,2025-01-18 05:51:00,1.02821,1.02832,1.02817,1.02822
1667,2025-01-18 05:52:00,1.02821,1.02834,1.02816,1.02823
1668,2025-01-18 05:53:00,1.02825,1.02834,1.02821,1.02825
1669,2025-01-18 05:54:00,1.02824,1.02828,1.02813,1.02818
1670,2025-01-18 05:55:00,1.02817,1.02821,1.02802,1.02811
1671,2025-01-18 05:56:00,1.02809,1.02812,1.02798,1.02802
1672,2025-01-18 05:57:00,1.02801,1.02812,1.02797,1.02807
1673,2025-01-18 05:58:00,1.02806,1.02818,1.02799,1.02813
1674,2025-01-18 05:59:00,1.02814,1.02817,1.028,1.02812
1675,2025-01-18 06:00:00,1.02811,1.02815,1.02797,1.02805
1676,2025-01-18 06:01:00,1.02804,1.02815,1.02799,1.02812
1677,2025-01-18 06:02:00,1.02813,1.02832,1.02808,1.02829
1678,2025-01-18 06:03:00,1.0283,1.02835,1.02823,1.02826
1679,2025-01-18 06:04:00,1.02827,1.02846,1.02818,1.02838
1680,2025-01-18 06:05:00,1.02837,1.0284,1.02814,1.02824
1681,2025-01-18 06:06:00,1.02825,1.02831,1.02814,1.02821
1682,2025-01-18 06:07:00,1.02822,1.02828,1.02816,1.02825
1683,2025-01-18 06:08:00,1.02823,1.02838,1.02817,1.02835
1684,2025-01-18 06:09:00,1.02834,1.02841,1.02829,1.02833
1685,2025-01-18 06:10:00,1.02835,1.02846,1.02832,1.02838
1686,2025-01-18 06:11:00,1.02837,1.02841,1.02819,1.02822
1687,2025-01-18 06:12:00,1.0282,1.02823,1.02803,1.02807
1688,2025-01-18 06:13:00,1.02806,1.02826,1.02799,1.02816
1689,2025-01-18 06:14:00,1.02814,1.02822,1.02809,1.02816
1690,2025-01-18 06:15:00,1.02818,1.02822,1.02802,1.02813
1691,2025-01-18 06:16:00,1.02814,1.02822,1.02808,1.02819
1692,2025-01-18 06:17:00,1.02818,1.02821,1.02793,1.02799
1693,2025-01-18 06:18:00,1.028,1.02803,1.02784,1.02788
1694,2025-01-18 06:19:00,1.02787,1.02791,1.02776,1.02783
1695,2025-01-18 06:20:00,1.02784,1.02797,1.02779,1.02793
1696,2025-01-18 06:21:00,1.02794,1.02802,1.02785,1.02788
1697,2025-01-18 06:22:00,1.02789,1.02792,1.02771,1.02778
1698,2025-01-18 06:23:00,1.02777,1.02782,1.02766,1.02779
1699,2025-01-18 06:24:00,1.0278,1.02788,1.02775,1.02781
1700,2025-01-18 06:25:00,1.0278,1.02785,1.02775,1.02782
1701,2025-01-18 06:26:00,1.02781,1.02787,1.02766,1.02771
1702,2025-01-18 06:27:00,1.0277,1.02773,1.02753,1.02762
1703,2025-01-18 06:28:00,1.02761,1.02788,1.02757,1.02779
1704,2025-01-18 06:29:00,1.02777,1.02783,1.0277,1.02778
1705,2025-01-18 06:30:00,1.02777,1.02788,1.02772,1.0278
1706,2025-01-18 06:31:00,1.02779,1.02786,1.0277,1.02773
1707,2025-01-18 06:32:00,1.02774,1.02784,1.02765,1.0278
1708,2025-01-18 06:33:00,1.02781,1.02784,1.02771,1.02775
1709,2025-01-18 06:34:00,1.02774,1.02784,1.0276,1.02778
1710,2025-01-18 06:35:00,1.02779,1.0279,1.02775,1.02779
1711,2025-01-18 06:36:00,1.02778,1.02781,1.0277,1.02773
1712,2025-01-18 06:37:00,1.02774,1.02779,1.02765,1.02772
1713,2025-01-18 06:38:00,1.02773,1.02777,1.02765,1.02768
1714,2025-01-18 06:39:00,1.02767,1.0277,1.02733,1.02736
1715,2025-01-18 06:40:00,1.02737,1.02745,1.02726,1.0274
1716,2025-01-18 06:41:00,1.02739,1.02749,1.02735,1.02746
1717,2025-01-18 06:42:00,1.02747,1.02757,1.02737,1.02751
1718,2025-01-18 06:43:00,1.02749,1.02752,1.0273,1.02737
1719,2025-01-18 06:44:00,1.02736,1.02758,1.02732,1.02755
1720,2025-01-18 06:45:00,1.02756,1.02776,1.02753,1.02761
1721,2025-01-18 06:46:00,1.0276,1.02764,1.02754,1.02757
1722,2025-01-18 06:47:00,1.02758,1.02761,1.02739,1.02744
1723,2025-01-18 06:48:00,1.02745,1.02762,1.02742,1.02758
1724,2025-01-18 06:49:00,1.02759,1.02766,1.02753,1.02759
1725,2025-01-18 06:50:00,1.02758,1.02763,1.02746,1.02749
1726,2025-01-18 06:51:00,1.02748,1.02762,1.02743,1.02758
1727,2025-01-18 06:52:00,1.02757,1.02776,1.02744,1.02768
1728,2025-01-18 06:53:00,1.02769,1.02775,1.02751,1.02769
1729,2025-01-18 06:54:00,1.0277,1.02782,1.02761,1.02765
1730,2025-01-18 06:55:00,1.02766,1.02771,1.02746,1.02749
1731,2025-01-18 06:56:00,1.0275,1.02781,1.02745,1.02777
1732,2025-01-18 06:57:00,1.02778,1.02781,1.0276,1.0277
1733,2025-01-18 06:58:00,1.02769,1.02774,1.02762,1.02768
1734,2025-01-18 06:59:00,1.02767,1.02773,1.02759,1.02763
1735,2025-01-18 07:00:00,1.02762,1.02768,1.02747,1.02764
1736,2025-01-18 07:01:00,1.02763,1.0279,1.02756,1.02777
1737,2025-01-18 07:02:00,1.02779,1.02784,1.02765,1.02777
1738,2025-01-18 07:03:00,1.02776,1.02779,1.02759,1.02762
1739,2025-01-18 07:04:00,1.02761,1.02773,1.02749,1.02768
1740,2025-01-18 07:05:00,1.02767,1.02778,1.02759,1.02763
1741,2025-01-18 07:06:00,1.02765,1.02775,1.02759,1.02769
1742,2025-01-18 07:07:00,1.02768,1.02773,1.02754,1.0276
1743,2025-01-18 07:08:00,1.02759,1.02765,1.02752,1.02757
1744,2025-01-18 07:09:00,1.02758,1.02771,1.02745,1.02767
1745,2025-01-18 07:10:00,1.02768,1.0278,1.02765,1.02772
1746,2025-01-18 07:11:00,1.02773,1.02776,1.02753,1.02762
1747,2025-01-18 07:12:00,1.02761,1.02765,1.02748,1.02753
1748,2025-01-18 07:13:00,1.02754,1.02761,1.0274,1.02751
1749,2025-01-18 07:14:00,1.02752,1.02756,1.02735,1.02748
1750,2025-01-18 07:15:00,1.02746,1.02755,1.02736,1.02742
1751,2025-01-18 07:16:00,1.02741,1.02752,1.02735,1.02749
1752,2025-01-18 07:17:00,1.02748,1.02761,1.02739,1.02746
1753,2025-01-18 07:18:00,1.02747,1.02771,1.02744,1.02765
1754,2025-01-18 07:19:00,1.02764,1.02782,1.02761,1.02779
1755,2025-01-18 07:20:00,1.0278,1.02798,1.02777,1.02794
1756,2025-01-18 07:21:00,1.02795,1.02799,1.02784,1.02788
1757,2025-01-18 07:22:00,1.02789,1.02793,1.0277,1.02776
1758,2025-01-18 07:23:00,1.02775,1.02778,1.02764,1.02773
1759,2025-01-18 07:24:00,1.02774,1.02783,1.02764,1.02776
1760,2025-01-18 07:25:00,1.02775,1.02786,1.0277,1.02783
1761,2025-01-18 07:26:00,1.02784,1.02791,1.02775,1.02783
1762,2025-01-18 07:27:00,1.02784,1.02789,1.02771,1.02781
1763,2025-01-18 07:28:00,1.02779,1.02795,1.02775,1.02791
1764,2025-01-18 07:29:00,1.02792,1.02802,1.02785,1.02793
1765,2025-01-18 07:30:00,1.02794,1.02815,1.0279,1.02812
1766,2025-01-18 07:31:00,1.02811,1.02817,1.02804,1.02813
1767,2025-01-18 07:32:00,1.02814,1.0282,1.02805,1.0281
